dataset,model,repeat,MAPE,MAE,RMSE
batlik/corona,LinearRegression,0,12.084009676030414,0.18167321750620533,0.25970279699679577
batlik/corona,RandomForest,0,3.611119986104981,0.05296475694444448,0.07492530620836112
batlik/corona,LinearRegression,1,11.79329908322205,0.16938284292666908,0.24518608239577386
batlik/corona,RandomForest,1,3.8009189573397233,0.054169908854166664,0.0724846143558104
batlik/corona,LinearRegression,2,12.297643024194358,0.17991772200000541,0.260663235682072
batlik/corona,RandomForest,2,3.830713350784217,0.054528298611111095,0.07267798256215949
batlik/corona,LinearRegression,3,11.576193065020062,0.17608848159197815,0.26214728768227796
batlik/corona,RandomForest,3,3.799666384187218,0.05580538194444445,0.07669998607942077
batlik/corona,LinearRegression,4,12.099380096703083,0.18581706882407772,0.27126722218533944
batlik/corona,RandomForest,4,3.5522906209672613,0.0537710069444445,0.0748979299660175
batlik/corona,LinearRegression,5,12.56172058025772,0.18829756919893811,0.27421368511832256
batlik/corona,RandomForest,5,3.8270423586839972,0.056430381944444434,0.07714887562639307
batlik/corona,LinearRegression,6,11.689820808728815,0.18102186527554343,0.26807904959413675
batlik/corona,RandomForest,6,3.689712988653255,0.057011111111111124,0.08287856180547815
batlik/corona,LinearRegression,7,12.388471742352097,0.1738071675342643,0.2417712940260094
batlik/corona,RandomForest,7,3.7243604356245497,0.05191406250000003,0.06840336997769597
batlik/corona,LinearRegression,8,12.352616387485364,0.18111269821405532,0.25576701130248863
batlik/corona,RandomForest,8,3.7417110783347045,0.05456145833333333,0.07355942774194363
batlik/corona,LinearRegression,9,11.794142645361168,0.17382151601792448,0.2548826409702684
batlik/corona,RandomForest,9,3.61777882266649,0.053474652777777756,0.0744963156247788
batlik/corona,LinearRegression,10,12.340358467107105,0.18208388838062156,0.2620024838026018
batlik/corona,RandomForest,10,3.8305066716268383,0.055009201388888956,0.07253840302346382
batlik/corona,LinearRegression,11,11.940907938934881,0.17543193079605568,0.25134939702258624
batlik/corona,RandomForest,11,3.7305979862283984,0.054902604166666626,0.07241420797993378
batlik/corona,LinearRegression,12,11.784626940153142,0.17954083127101056,0.261730698056057
batlik/corona,RandomForest,12,4.018240400750136,0.058536979166666656,0.07741777638691545
batlik/corona,LinearRegression,13,12.206418794420992,0.18327482277454876,0.26317745680726246
batlik/corona,RandomForest,13,3.653323196072579,0.05282482638888894,0.0700862889537288
batlik/corona,LinearRegression,14,12.425771074145125,0.17832676997739416,0.24828832213123483
batlik/corona,RandomForest,14,3.579618409362294,0.05024045138888891,0.06660435694895141
batlik/corona,LinearRegression,15,12.175299658234337,0.18719568382194687,0.275603893983983
