dataset,proposed_model,baseline_mean_MAPE,proposed_mean_MAPE,wins,ties,losses,wilcoxon_p,significant
x264/sd_bridge_close_cif_short.y4m,RandomForest,51.2794,21.3628,30,0,0,0.0,True
x264/sd_city_4cif_short.y4m,RandomForest,81.7531,29.6547,30,0,0,0.0,True
x264/sd_crew_cif_short.y4m,RandomForest,61.4342,25.0834,30,0,0,0.0,True
x264/sintel_trailer_2k_720p24_short.y4m,RandomForest,50.8237,23.4144,30,0,0,0.0,True
xz/ambivert.wav.tar,RandomForest,135.8499,15.1818,30,0,0,0.0,True
xz/artificl.tar,RandomForest,28.6748,29.5437,1,0,29,0.0,True
xz/deepfield.tar,RandomForest,61.8542,10.9111,30,0,0,0.0,True
xz/enwik8.tar,RandomForest,199.2823,27.4817,30,0,0,0.0,True
xz/fannie_mae_500k.tar,RandomForest,91.1015,11.526,30,0,0,0.0,True
xz/large.tar,RandomForest,43.1094,9.3586,30,0,0,0.0,True
xz/misc.tar,RandomForest,22.6198,7.0663,30,0,0,0.0,True
xz/silesia.tar,RandomForest,94.7531,12.1662,30,0,0,0.0,True
xz/uiq-32.bin,RandomForest,119.8584,20.7774,30,0,0,0.0,True
xz/uiq2-16.bin,RandomForest,107.7645,19.781,30,0,0,0.0,True
xz/uiq2-4.bin,RandomForest,61.5909,12.0068,30,0,0,0.0,True
xz/uiq2-8.bin,RandomForest,81.9854,17.0423,30,0,0,0.0,True
xz/vmlinux-5.10.tar,RandomForest,28.4536,6.5348,30,0,0,0.0,True
z3/AUFNIRA_z3.637557.smt2,RandomForest,741.7905,93.623,30,0,0,0.0,True
z3/LRA_formula_277.smt2,RandomForest,11.1703,3.9222,30,0,0,0.0,True
z3/QF_AUFBV_891_sqlite3.smt2,RandomForest,520.5237,135.6058,30,0,0,0.0,True
z3/QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2,RandomForest,13.029,7.6602,30,0,0,0.0,True
z3/QF_BV_bench_3176.smt2,RandomForest,985.8815,172.2108,30,0,0,0.0,True
z3/QF_BV_bench_935.smt2,RandomForest,1664.54,290.6346,30,0,0,0.0,True
z3/QF_LIA_tightrhombus,RandomForest,73.7647,31.36,30,0,0,0.0,True
z3/QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2,RandomForest,5.343,3.1123,30,0,0,0.0,True
z3/QF_NRA_hong_9.smt2,RandomForest,0.2111,2.5461,0,0,30,0.0,True
z3/QF_RDL_orb08_888.smt2,RandomForest,2.8088,2.5824,28,0,2,0.0,True
z3/QF_UFLIA_xs_23_43.smt2,RandomForest,35.9182,9.2888,30,0,0,0.0,True
z3/QF_UF_PEQ018_size6.smt2,RandomForest,933.4748,101.0744,30,0,0,0.0,True
